id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.11203247728715376,0.30282401404075676,0.1705159256050504,0.13832034690984005,0.06595420355367312,0.00015070908750907937,0.06395906991024336,0.014628464557669611,0.1316147890481039
2,0.11516392841493168,0.29792225562136676,0.16752199893115724,0.14089273998488647,0.066461982944573,0.0001484888189263616,0.06376503583778863,0.014931302345359006,0.1331922671010108
3,0.1132424186225768,0.3009574256350648,0.169410298402601,0.13938401978961937,0.06615098844855316,0.00014983715367342684,0.06386963569374371,0.014736938863707128,0.13209843739046068
4,0.11357065148404101,0.29891400912634697,0.1677665477247539,0.14081196074463287,0.066581193265389,0.0001492583890626311,0.06433155229403947,0.014869989576331198,0.13300483739540284
5,0.1129307164411282,0.30137019712832447,0.1696541568389876,0.13918748106926124,0.06611201026774553,0.00015004314826312559,0.06390451592454811,0.014712104338734487,0.13197877484300707
6,0.11347319688414353,0.30015478364333736,0.16884610901286462,0.13995685163264396,0.06628774128946768,0.00014956633322394175,0.06397848663587227,0.014785622089674643,0.13236764247877217
7,0.11765493290233817,0.2957655194120886,0.16645078211130168,0.14102923602273157,0.0664470101702799,0.0001472248937744917,0.06316540526873662,0.015093556194649691,0.1342463330240992
8,0.11292987074257861,0.30136926533283276,0.16965329774236584,0.13918891141992865,0.06611237731978248,0.000150043164932356,0.06390517917378633,0.0147121457462578,0.1319789093575352
9,0.11324241114835414,0.30095739443619357,0.16941027373523326,0.13938405291778877,0.06615099669622729,0.00014983714808383236,0.06386964775400009,0.014736940563757836,0.13209844560036135
10,0.11318229065423549,0.3010497970555962,0.1694687366466751,0.13933556556411725,0.06614012669372994,0.00014987984179199674,0.06387228000288622,0.014731359073961546,0.13206996446700636
11,0.11207309655796592,0.30017442474048045,0.16819996050080388,0.14037558481912293,0.06660344352122313,0.0001501186424872881,0.06475756764935732,0.01480033184723116,0.13286547172132804
12,0.11387752229503745,0.2996064614795718,0.16813144782758044,0.13976644795986226,0.0663961745512379,0.00014940851892928912,0.06402950950990442,0.014850450772991254,0.13319257708488524
13,0.11289099955984344,0.30018741803302235,0.16867078228301766,0.14021643517379162,0.06641276104357685,0.00014976524467634237,0.0642887183820891,0.014782109941299566,0.13240101033868318
14,0.11319235841315088,0.2988493658603673,0.16755639513588116,0.14082984379399932,0.06665522015355137,0.00014941908173359144,0.06455084500387928,0.014888846628495343,0.13332770592894172
15,0.10533167103220441,0.30746731720237863,0.1710550679533188,0.13704290680354356,0.06625628375931224,0.0001550791964104327,0.06597300132502495,0.014417733176086876,0.13230093955172015
16,0.11258622326551403,0.303342449449293,0.17101054195333956,0.13747558115444997,0.06572322922184475,0.00015067932786308285,0.0635343399138844,0.014607291670608329,0.1315696640432029
17,0.09779106038644493,0.3173147010860731,0.17595312698812696,0.13179692371484109,0.06556857916682954,0.00016186560626596372,0.06695033141445152,0.013894486356100142,0.13056892528086675
18,0.11239422615101985,0.30391277821490104,0.17148495128047547,0.13706582199580467,0.06558916361002957,0.00015088660910497125,0.06342928420161442,0.014575594095171866,0.13139729384187807
19,0.11466363150781869,0.2989838787045845,0.1682656077850351,0.1403126677930679,0.0663136046589523,0.0001488975557498128,0.06370367849391072,0.014861121745039887,0.1327469117558411
20,0.11292987115800053,0.3013692648324731,0.16965329745949617,0.13918891162539943,0.06611237735513063,0.0001500431646746544,0.06390517910821017,0.014712145777610946,0.13197890951900434
21,0.10193199022015814,0.312044737615782,0.17474603216604115,0.1352801503479999,0.06560766792321916,0.0001574522697979384,0.06611866765275681,0.01411386207208545,0.1299994397321596
22,0.11266922993688622,0.29912160263698584,0.1675233944171959,0.14081594678046652,0.06668176517786782,0.00014972105737348266,0.06471195346509562,0.014879085359693074,0.13344730116843556
23,0.11380076391637173,0.2995978081515213,0.16848410032472363,0.14026469757169915,0.0663590349782232,0.0001493199733873722,0.06398031569710588,0.014819460075192295,0.1325444993117754
24,0.1171582350242016,0.29596401608999684,0.16601814309674504,0.14036028264487704,0.06654506270349216,0.00014756492707077408,0.06347790661790129,0.01513136364232572,0.13519742525338965
25,0.09418521761288438,0.3064432882801229,0.19527115697050212,0.13324004901693381,0.06743823813453337,0.00020799293966683091,0.06100443245479507,0.016006046258111556,0.12620357833245005
26,0.11750338284856397,0.2959317069916793,0.16655287977125782,0.14100608966570363,0.06644006586460392,0.0001473068830894957,0.06319046603942625,0.015080398378520557,0.13414770355715525
27,0.11575849184489236,0.29747984732891913,0.16738869929466446,0.14095081895950565,0.06640653954900157,0.00014820852333792038,0.06354604852862733,0.014963005325877717,0.13335834064517388
28,0.1145573348792096,0.2990065741525218,0.16825363091394901,0.14035525292716228,0.06632908239028955,0.0001489371152362227,0.06374957107493982,0.014859201874089071,0.1327404146726025
29,0.11295669343804939,0.300217405601988,0.1686867530145284,0.14015266819931685,0.06640042720424524,0.00014975317798789368,0.064253473214122,0.01478078243141138,0.13240204371835085
30,0.11310522795325095,0.30115928431824635,0.16953539493729547,0.1392806650429709,0.06612863050430683,0.00014993250808757158,0.0638786335022156,0.014724766851919802,0.13203746438170644
31,0.09885405073291718,0.3160098266745486,0.1753027652308747,0.1325844441993202,0.0656583029593494,0.00016064160236439995,0.06686062303004497,0.013950429406077137,0.13061891616450336
32,0.11194675870044234,0.3015445554568603,0.16937975582108902,0.13950884466341576,0.0663008079570724,0.00015043519198845677,0.0643923579010894,0.014702130170492904,0.13207435413754945
33,0.11933865873891654,0.2942669608585597,0.16504508795856063,0.14017304604674388,0.06641018827168013,0.00014663254632936153,0.06279580924970594,0.01528491588151574,0.13653870044798808
34,0.11275832130574823,0.3031278979493864,0.17099944811230916,0.13761656298172217,0.06570092350656795,0.00015056247061332004,0.06346309188778038,0.014618583951689749,0.1315646078341825
35,0.11228111678503959,0.3041547461234693,0.17152955925206492,0.13685692621495582,0.06559097282075317,0.000150994786831238,0.06346129292375056,0.014563969999166315,0.1314104210939691
